cv_fold,validation_subjects,test_subjects,val_accuracy,val_loss,test_accuracy,epoch,timestamp,total_training_time,train_size,val_size,test_size,file_name
1,"['p012', 'p016']","['p022', 'p056']",0.5,0.8,0.10684481542557478,1,20231205_094437,0:6,13826,1901,2027,TinyVgg_500k_20231205_094602_cv_fold_1_epoch_1
2,"['p042', 'p075']","['p052', 'p015']",0.5,0.8,0.10424836608124714,1,20231205_094437,0:5,14734,1405,1615,TinyVgg_500k_20231205_094607_cv_fold_2_epoch_1
3,"['p045', 'p061']","['p051', 'p014']",0.5,0.8,0.08662280701754387,1,20231205_094437,0:5,14425,1533,1796,TinyVgg_500k_20231205_094612_cv_fold_3_epoch_1
4,"['p066', 'p081']","['p039', 'p002']",0.5,0.8,0.10101744186046512,1,20231205_094437,0:4,14521,1857,1376,TinyVgg_500k_20231205_094616_cv_fold_4_epoch_1
5,"['p064', 'p050']","['p072', 'p047']",0.5,0.8,0.08751747414872453,1,20231205_094437,0:3,14963,1610,1181,TinyVgg_500k_20231205_094620_cv_fold_5_epoch_1
