cv_fold,validation_subjects,test_subjects,val_accuracy,val_loss,test_accuracy,epoch,timestamp,total_training_time,train_size,val_size,test_size,file_name
1,"['p012', 'p016']","['p022', 'p056']",0.49519230822722116,2.7809672594070434,0.5733753554522991,13,20231205_181823,138:35,13826,1901,2027,TinyVgg_500k_20231205_203659_cv_fold_1_epoch_13
2,"['p042', 'p075']","['p052', 'p015']",0.6974186910824343,1.3193968317725442,0.7221813739514819,22,20231205_181823,239:11,14734,1405,1615,TinyVgg_500k_20231206_003611_cv_fold_2_epoch_22
3,"['p045', 'p061']","['p051', 'p014']",0.7880747119585673,0.7532782033085823,0.8075657894736842,16,20231205_181823,102:22,14425,1533,1796,TinyVgg_500k_20231206_021833_cv_fold_3_epoch_16
4,"['p066', 'p081']","['p039', 'p002']",0.3808262711864407,2.9784540180432595,0.5501453488372093,9,20231205_181823,57:58,14521,1857,1376,TinyVgg_500k_20231206_031631_cv_fold_4_epoch_9
5,"['p064', 'p050']","['p072', 'p047']",0.41531862756785226,2.7555298781862447,0.5815470637501897,12,20231205_181823,78:48,14963,1610,1181,TinyVgg_500k_20231206_043520_cv_fold_5_epoch_12
